(468s) Epoch=4, Group=11loss: 51853.399414,  ess_sis: 1.000869,  density: -39047.346631
(467s) Epoch=4, Group=12loss: 51090.334297,  ess_sis: 1.000000,  density: -38380.822451
(467s) Epoch=4, Group=13loss: 51595.811426,  ess_sis: 1.000985,  density: -38851.895742
(468s) Epoch=4, Group=14loss: 52222.752773,  ess_sis: 1.000758,  density: -39404.868838
(468s) Epoch=4, Group=15loss: 51768.287852,  ess_sis: 1.000124,  density: -38985.180518
(468s) Epoch=4, Group=16loss: 51859.441875,  ess_sis: 1.000716,  density: -38997.255098
(468s) Epoch=4, Group=17loss: 51861.069590,  ess_sis: 1.000269,  density: -39256.216455
(466s) Epoch=4, Group=18loss: 51556.382305,  ess_sis: 1.000017,  density: -38909.307793
(467s) Epoch=4, Group=19loss: 51447.820566,  ess_sis: 1.000142,  density: -38767.535010
(468s) Epoch=4, Group=20loss: 51141.369785,  ess_sis: 1.000000,  density: -38787.677363
(466s) Epoch=4, Group=21loss: 52614.481211,  ess_sis: 1.000115,  density: -39484.992734
(467s) Epoch=4, Group=22loss: 51861.531191,  ess_sis: 1.000578,  density: -39037.401152
(467s) Epoch=4, Group=23loss: 51857.276270,  ess_sis: 1.000567,  density: -39209.315400
(467s) Epoch=4, Group=24loss: 51669.316270,  ess_sis: 1.001172,  density: -38705.103271
(467s) Epoch=4, Group=25loss: 51364.801406,  ess_sis: 1.000047,  density: -38593.220459
(467s) Epoch=4, Group=26loss: 52004.857969,  ess_sis: 1.000003,  density: -39069.814277
(466s) Epoch=4, Group=27loss: 52169.767324,  ess_sis: 1.000450,  density: -39206.149346
(466s) Epoch=4, Group=28loss: 51590.978535,  ess_sis: 1.000001,  density: -38812.028301
(466s) Epoch=4, Group=29loss: 51073.042949,  ess_sis: 1.000800,  density: -38570.731172
(466s) Epoch=4, Group=30loss: 51038.551914,  ess_sis: 1.000097,  density: -38488.045557
(466s) Epoch=4, Group=31loss: 51827.834395,  ess_sis: 1.001124,  density: -39024.642900
(465s) Epoch=4, Group=32loss: 51700.320957,  ess_sis: 1.001179,  density: -38999.584268
(466s) Epoch=4, Group=33loss: 51694.253125,  ess_sis: 1.000009,  density: -39032.319033
(466s) Epoch=4, Group=34loss: 52054.605996,  ess_sis: 1.000002,  density: -39292.700176
(465s) Epoch=4, Group=35loss: 51955.391816,  ess_sis: 1.000662,  density: -38988.827344
(465s) Epoch=4, Group=36loss: 51811.598125,  ess_sis: 1.000746,  density: -38899.339521
(465s) Epoch=4, Group=37loss: 52125.576367,  ess_sis: 1.000002,  density: -39098.990937
(465s) Epoch=4, Group=38loss: 51307.480801,  ess_sis: 1.000573,  density: -38657.278555
(464s) Epoch=4, Group=39loss: 52162.797988,  ess_sis: 1.000014,  density: -39359.271787
(464s) Epoch=4, Group=40loss: 51960.491543,  ess_sis: 1.000013,  density: -39215.483691
(465s) Epoch=4, Group=41loss: 51949.425195,  ess_sis: 1.001053,  density: -39031.587666
(465s) Epoch=4, Group=42loss: 51652.058926,  ess_sis: 1.000058,  density: -38876.831230
(465s) Epoch=4, Group=43loss: 51974.737324,  ess_sis: 1.000042,  density: -39145.897393
(465s) Epoch=4, Group=44loss: 51924.148105,  ess_sis: 1.000234,  density: -39298.204404
(464s) Epoch=4, Group=45loss: 51223.302324,  ess_sis: 1.001688,  density: -38441.226787
(464s) Epoch=4, Group=46loss: 51729.256855,  ess_sis: 1.001596,  density: -38917.916172
(465s) Epoch=4, Group=47loss: 51481.777480,  ess_sis: 1.000000,  density: -39001.656045
(464s) Epoch=4, Group=48loss: 51846.564492,  ess_sis: 1.000061,  density: -39163.363486
(464s) Epoch=4, Group=49loss: 51877.183574,  ess_sis: 1.000097,  density: -39272.708564
(464s) Epoch=4, Group=50loss: 52140.842207,  ess_sis: 1.000741,  density: -39421.012773
