(387s) loss_phi: -488.233687,  loss_theta: 381.835688,  ess_rws: 1.018380,  ess_mu: 1.274194,  ess_local: 1.029432,  density: -721.579127
(387s) loss_phi: -488.001895,  loss_theta: 379.417852,  ess_rws: 1.019889,  ess_mu: 1.276356,  ess_local: 1.028303,  density: -718.616846
(383s) loss_phi: -487.103667,  loss_theta: 379.218102,  ess_rws: 1.022235,  ess_mu: 1.277662,  ess_local: 1.029671,  density: -718.195961
(382s) loss_phi: -486.545605,  loss_theta: 374.146778,  ess_rws: 1.021461,  ess_mu: 1.275957,  ess_local: 1.030644,  density: -714.740964
(388s) loss_phi: -485.556677,  loss_theta: 373.201556,  ess_rws: 1.020219,  ess_mu: 1.274184,  ess_local: 1.030528,  density: -714.027665
(388s) loss_phi: -485.059760,  loss_theta: 369.206899,  ess_rws: 1.019011,  ess_mu: 1.274917,  ess_local: 1.029150,  density: -710.036646
(388s) loss_phi: -484.286159,  loss_theta: 370.522128,  ess_rws: 1.019893,  ess_mu: 1.275908,  ess_local: 1.028909,  density: -710.255339
(388s) loss_phi: -484.083829,  loss_theta: 367.609449,  ess_rws: 1.020978,  ess_mu: 1.279988,  ess_local: 1.030683,  density: -707.842761
(386s) loss_phi: -484.168067,  loss_theta: 364.929719,  ess_rws: 1.021251,  ess_mu: 1.275844,  ess_local: 1.030972,  density: -705.708784
(388s) loss_phi: -483.375906,  loss_theta: 365.707337,  ess_rws: 1.022105,  ess_mu: 1.277075,  ess_local: 1.030357,  density: -704.733337
(387s) loss_phi: -482.921907,  loss_theta: 363.020307,  ess_rws: 1.021900,  ess_mu: 1.278730,  ess_local: 1.030698,  density: -702.624052
(387s) loss_phi: -481.985489,  loss_theta: 361.815152,  ess_rws: 1.021503,  ess_mu: 1.284921,  ess_local: 1.030021,  density: -701.543871
(388s) loss_phi: -481.923286,  loss_theta: 360.049265,  ess_rws: 1.021726,  ess_mu: 1.277645,  ess_local: 1.030080,  density: -698.255140
(387s) loss_phi: -480.709084,  loss_theta: 354.724081,  ess_rws: 1.020872,  ess_mu: 1.280615,  ess_local: 1.031615,  density: -695.377544
