(139s) phi_loss: -725.983,  theta_loss: 18739.258,  ess: 4.131
(139s) phi_loss: -729.349,  theta_loss: 18559.267,  ess: 4.061
(139s) phi_loss: -727.098,  theta_loss: 18850.820,  ess: 4.079
(139s) phi_loss: -731.467,  theta_loss: 18796.783,  ess: 4.068
(139s) phi_loss: -725.047,  theta_loss: 18744.875,  ess: 4.102
(139s) phi_loss: -725.201,  theta_loss: 18915.685,  ess: 4.109
(139s) phi_loss: -735.567,  theta_loss: 18900.221,  ess: 4.092
(139s) phi_loss: -731.042,  theta_loss: 19193.387,  ess: 4.095
(140s) phi_loss: -726.656,  theta_loss: 18930.643,  ess: 4.074
(140s) phi_loss: -725.011,  theta_loss: 18914.056,  ess: 4.097
(140s) phi_loss: -725.392,  theta_loss: 18688.914,  ess: 4.098
(140s) phi_loss: -726.197,  theta_loss: 18664.645,  ess: 4.073
(140s) phi_loss: -723.566,  theta_loss: 18653.783,  ess: 4.133
(139s) phi_loss: -720.459,  theta_loss: 18540.281,  ess: 4.080
(139s) phi_loss: -724.745,  theta_loss: 18877.181,  ess: 4.074
(139s) phi_loss: -728.762,  theta_loss: 18690.064,  ess: 4.112
(140s) phi_loss: -725.483,  theta_loss: 18671.701,  ess: 4.091
(140s) phi_loss: -730.669,  theta_loss: 18881.252,  ess: 4.085
(139s) phi_loss: -734.886,  theta_loss: 18626.613,  ess: 4.124
(140s) phi_loss: -728.538,  theta_loss: 18751.464,  ess: 4.127
(140s) phi_loss: -731.789,  theta_loss: 18912.435,  ess: 4.139
(139s) phi_loss: -731.587,  theta_loss: 18674.809,  ess: 4.109
(139s) phi_loss: -727.872,  theta_loss: 18624.454,  ess: 4.117
(139s) phi_loss: -734.571,  theta_loss: 18956.557,  ess: 4.101
(140s) phi_loss: -736.781,  theta_loss: 18876.974,  ess: 4.099
(140s) phi_loss: -730.591,  theta_loss: 18585.502,  ess: 4.127
(139s) phi_loss: -724.554,  theta_loss: 18631.902,  ess: 4.080
(139s) phi_loss: -726.279,  theta_loss: 18810.942,  ess: 4.113
(139s) phi_loss: -726.942,  theta_loss: 18712.872,  ess: 4.101
(139s) phi_loss: -731.557,  theta_loss: 18701.720,  ess: 4.150
(139s) phi_loss: -721.115,  theta_loss: 18730.415,  ess: 4.098
(139s) phi_loss: -724.698,  theta_loss: 18671.014,  ess: 4.138
(139s) phi_loss: -735.567,  theta_loss: 18586.030,  ess: 4.135
(139s) phi_loss: -731.026,  theta_loss: 18680.559,  ess: 4.123
(139s) phi_loss: -728.929,  theta_loss: 18817.007,  ess: 4.100
(139s) phi_loss: -736.294,  theta_loss: 18755.091,  ess: 4.139
(140s) phi_loss: -736.314,  theta_loss: 18894.607,  ess: 4.127
(140s) phi_loss: -736.499,  theta_loss: 18646.094,  ess: 4.105
(140s) phi_loss: -734.083,  theta_loss: 18997.330,  ess: 4.155
(140s) phi_loss: -736.550,  theta_loss: 18699.474,  ess: 4.126
(139s) phi_loss: -739.204,  theta_loss: 18692.870,  ess: 4.087
(139s) phi_loss: -740.464,  theta_loss: 18976.372,  ess: 4.087
(139s) phi_loss: -738.763,  theta_loss: 19163.139,  ess: 4.090
(139s) phi_loss: -733.913,  theta_loss: 18860.900,  ess: 4.090
(139s) phi_loss: -733.936,  theta_loss: 18651.676,  ess: 4.083
(140s) phi_loss: -729.889,  theta_loss: 18943.541,  ess: 4.089
(139s) phi_loss: -731.203,  theta_loss: 18802.399,  ess: 4.110
(139s) phi_loss: -728.686,  theta_loss: 18909.404,  ess: 4.093
(139s) phi_loss: -733.591,  theta_loss: 18990.686,  ess: 4.133
(140s) phi_loss: -728.790,  theta_loss: 19103.720,  ess: 4.098
(140s) phi_loss: -735.219,  theta_loss: 18819.283,  ess: 4.123
(140s) phi_loss: -730.072,  theta_loss: 18767.954,  ess: 4.092
(139s) phi_loss: -733.824,  theta_loss: 18800.859,  ess: 4.126
(139s) phi_loss: -734.002,  theta_loss: 18686.202,  ess: 4.115
(139s) phi_loss: -732.746,  theta_loss: 18712.851,  ess: 4.117
(140s) phi_loss: -733.643,  theta_loss: 18905.650,  ess: 4.093
(139s) phi_loss: -731.535,  theta_loss: 18722.733,  ess: 4.105
(140s) phi_loss: -726.636,  theta_loss: 18770.031,  ess: 4.121
(140s) phi_loss: -733.234,  theta_loss: 18616.114,  ess: 4.082
(140s) phi_loss: -737.193,  theta_loss: 18827.588,  ess: 4.128
(140s) phi_loss: -732.113,  theta_loss: 18619.323,  ess: 4.092
(139s) phi_loss: -726.864,  theta_loss: 18983.051,  ess: 4.108
(139s) phi_loss: -735.360,  theta_loss: 18407.195,  ess: 4.159
(140s) phi_loss: -729.569,  theta_loss: 18746.024,  ess: 4.069
(139s) phi_loss: -730.933,  theta_loss: 18586.085,  ess: 4.134
(140s) phi_loss: -727.559,  theta_loss: 18772.772,  ess: 4.096
(140s) phi_loss: -732.587,  theta_loss: 18731.382,  ess: 4.148
(139s) phi_loss: -733.265,  theta_loss: 19037.630,  ess: 4.105
(139s) phi_loss: -728.863,  theta_loss: 18559.021,  ess: 4.138
(139s) phi_loss: -730.953,  theta_loss: 18908.139,  ess: 4.151
(139s) phi_loss: -731.205,  theta_loss: 19125.328,  ess: 4.098
(139s) phi_loss: -731.346,  theta_loss: 18733.179,  ess: 4.144
(139s) phi_loss: -732.744,  theta_loss: 18711.852,  ess: 4.133
(139s) phi_loss: -729.874,  theta_loss: 18967.241,  ess: 4.099
(140s) phi_loss: -732.491,  theta_loss: 18682.467,  ess: 4.145
(140s) phi_loss: -734.881,  theta_loss: 18315.431,  ess: 4.131
(139s) phi_loss: -736.804,  theta_loss: 18760.931,  ess: 4.123
(139s) phi_loss: -736.826,  theta_loss: 18640.043,  ess: 4.124
(139s) phi_loss: -733.256,  theta_loss: 18849.712,  ess: 4.084
(140s) phi_loss: -736.225,  theta_loss: 19096.159,  ess: 4.131
(139s) phi_loss: -736.928,  theta_loss: 18728.456,  ess: 4.157
(140s) phi_loss: -734.101,  theta_loss: 19064.012,  ess: 4.112
(144s) phi_loss: -740.941,  theta_loss: 18798.082,  ess: 4.135
(141s) phi_loss: -732.457,  theta_loss: 18876.765,  ess: 4.075
(142s) phi_loss: -731.861,  theta_loss: 18755.409,  ess: 4.133
(142s) phi_loss: -733.012,  theta_loss: 18694.428,  ess: 4.127
(140s) phi_loss: -736.170,  theta_loss: 18649.737,  ess: 4.170
(140s) phi_loss: -734.684,  theta_loss: 18784.630,  ess: 4.156
(168s) phi_loss: -731.318,  theta_loss: 18741.374,  ess: 4.161
(203s) phi_loss: -733.733,  theta_loss: 18588.469,  ess: 4.162
(208s) phi_loss: -731.658,  theta_loss: 18724.866,  ess: 4.140
(212s) phi_loss: -732.022,  theta_loss: 18618.547,  ess: 4.157
(212s) phi_loss: -732.270,  theta_loss: 18870.348,  ess: 4.127
(165s) phi_loss: -732.127,  theta_loss: 18942.159,  ess: 4.134
(142s) phi_loss: -730.761,  theta_loss: 18698.613,  ess: 4.109
(143s) phi_loss: -729.071,  theta_loss: 18892.668,  ess: 4.156
(139s) phi_loss: -731.698,  theta_loss: 18707.711,  ess: 4.158
