(8s) phi_loss: -2341.711,  theta_loss: 1428.521,  ess: 1.033
(8s) phi_loss: -2343.723,  theta_loss: 1427.154,  ess: 1.033
(8s) phi_loss: -2346.329,  theta_loss: 1428.908,  ess: 1.032
(8s) phi_loss: -2341.488,  theta_loss: 1424.724,  ess: 1.033
(8s) phi_loss: -2344.551,  theta_loss: 1422.047,  ess: 1.031
(8s) phi_loss: -2345.788,  theta_loss: 1422.466,  ess: 1.034
(8s) phi_loss: -2345.414,  theta_loss: 1426.626,  ess: 1.032
(8s) phi_loss: -2335.743,  theta_loss: 1418.651,  ess: 1.035
(8s) phi_loss: -2340.414,  theta_loss: 1426.012,  ess: 1.033
(8s) phi_loss: -2337.441,  theta_loss: 1421.825,  ess: 1.034
(8s) phi_loss: -2329.335,  theta_loss: 1412.772,  ess: 1.031
(8s) phi_loss: -2333.971,  theta_loss: 1416.144,  ess: 1.033
(8s) phi_loss: -2333.908,  theta_loss: 1412.805,  ess: 1.033
(8s) phi_loss: -2314.923,  theta_loss: 1397.660,  ess: 1.033
(8s) phi_loss: -2322.136,  theta_loss: 1403.023,  ess: 1.034
(8s) phi_loss: -2312.487,  theta_loss: 1393.390,  ess: 1.034
(8s) phi_loss: -2307.396,  theta_loss: 1389.082,  ess: 1.033
(8s) phi_loss: -2314.770,  theta_loss: 1395.287,  ess: 1.034
(8s) phi_loss: -2328.632,  theta_loss: 1406.487,  ess: 1.034
(8s) phi_loss: -2315.797,  theta_loss: 1390.406,  ess: 1.032
(8s) phi_loss: -2324.735,  theta_loss: 1398.637,  ess: 1.034
(8s) phi_loss: -2298.051,  theta_loss: 1373.157,  ess: 1.032
(8s) phi_loss: -2318.176,  theta_loss: 1395.580,  ess: 1.030
(8s) phi_loss: -2299.249,  theta_loss: 1377.187,  ess: 1.036
(9s) phi_loss: -2300.691,  theta_loss: 1383.435,  ess: 1.036
(9s) phi_loss: -2293.245,  theta_loss: 1373.950,  ess: 1.034
(9s) phi_loss: -2291.440,  theta_loss: 1369.076,  ess: 1.037
(8s) phi_loss: -2302.249,  theta_loss: 1371.930,  ess: 1.035
(8s) phi_loss: -2299.127,  theta_loss: 1371.242,  ess: 1.034
