(19s) phi_loss: -1992.399,  theta_loss: 961.656,  ess: 1.053
(17s) phi_loss: -1991.200,  theta_loss: 959.509,  ess: 1.051
(22s) phi_loss: -1992.438,  theta_loss: 959.532,  ess: 1.054
(18s) phi_loss: -1989.380,  theta_loss: 961.535,  ess: 1.054
(21s) phi_loss: -1989.711,  theta_loss: 964.064,  ess: 1.055
(21s) phi_loss: -1987.938,  theta_loss: 961.238,  ess: 1.055
(22s) phi_loss: -1988.034,  theta_loss: 964.365,  ess: 1.054
(20s) phi_loss: -1986.482,  theta_loss: 962.016,  ess: 1.055
(21s) phi_loss: -1986.549,  theta_loss: 962.784,  ess: 1.052
(22s) phi_loss: -1986.029,  theta_loss: 963.123,  ess: 1.052
(24s) phi_loss: -1989.977,  theta_loss: 967.250,  ess: 1.052
(23s) phi_loss: -1986.527,  theta_loss: 963.486,  ess: 1.054
(20s) phi_loss: -1988.900,  theta_loss: 964.997,  ess: 1.052
(23s) phi_loss: -1990.225,  theta_loss: 965.525,  ess: 1.056
(23s) phi_loss: -1987.645,  theta_loss: 962.383,  ess: 1.054
(23s) phi_loss: -1985.472,  theta_loss: 960.014,  ess: 1.055
(23s) phi_loss: -1983.726,  theta_loss: 953.904,  ess: 1.057
(21s) phi_loss: -1986.998,  theta_loss: 957.995,  ess: 1.055
(21s) phi_loss: -1990.273,  theta_loss: 960.059,  ess: 1.056
(18s) phi_loss: -1984.998,  theta_loss: 957.069,  ess: 1.055
(21s) phi_loss: -1983.485,  theta_loss: 955.078,  ess: 1.055
(23s) phi_loss: -1983.472,  theta_loss: 955.131,  ess: 1.055
(23s) phi_loss: -1984.408,  theta_loss: 955.571,  ess: 1.057
(23s) phi_loss: -1982.239,  theta_loss: 954.819,  ess: 1.055
(23s) phi_loss: -1984.206,  theta_loss: 957.276,  ess: 1.055
(23s) phi_loss: -1979.977,  theta_loss: 950.656,  ess: 1.058
(22s) phi_loss: -1981.052,  theta_loss: 951.029,  ess: 1.055
(23s) phi_loss: -1979.506,  theta_loss: 952.057,  ess: 1.055
(23s) phi_loss: -1981.421,  theta_loss: 952.523,  ess: 1.056
(23s) phi_loss: -1980.609,  theta_loss: 948.255,  ess: 1.053
(23s) phi_loss: -1980.736,  theta_loss: 948.238,  ess: 1.054
(23s) phi_loss: -1978.849,  theta_loss: 948.734,  ess: 1.055
(21s) phi_loss: -1983.554,  theta_loss: 954.847,  ess: 1.054
(23s) phi_loss: -1980.020,  theta_loss: 950.342,  ess: 1.052
(23s) phi_loss: -1983.241,  theta_loss: 953.208,  ess: 1.054
(22s) phi_loss: -1978.527,  theta_loss: 953.545,  ess: 1.055
(21s) phi_loss: -1983.783,  theta_loss: 957.225,  ess: 1.056
(19s) phi_loss: -1983.269,  theta_loss: 948.819,  ess: 1.058
(22s) phi_loss: -1981.533,  theta_loss: 947.276,  ess: 1.055
(23s) phi_loss: -1980.872,  theta_loss: 947.878,  ess: 1.054
(22s) phi_loss: -1981.039,  theta_loss: 953.069,  ess: 1.055
(21s) phi_loss: -1975.316,  theta_loss: 949.464,  ess: 1.055
(22s) phi_loss: -1975.736,  theta_loss: 946.875,  ess: 1.053
(19s) phi_loss: -1974.936,  theta_loss: 948.074,  ess: 1.055
(21s) phi_loss: -1975.794,  theta_loss: 949.066,  ess: 1.057
(22s) phi_loss: -1975.449,  theta_loss: 948.040,  ess: 1.055
(23s) phi_loss: -1975.226,  theta_loss: 946.614,  ess: 1.055
(23s) phi_loss: -1974.257,  theta_loss: 947.082,  ess: 1.053
