(113s) phi_loss: -592.721,  theta_loss: 956.664,  ess: 4.371
(114s) phi_loss: -593.076,  theta_loss: 956.841,  ess: 4.348
(114s) phi_loss: -591.576,  theta_loss: 966.584,  ess: 4.370
(111s) phi_loss: -593.556,  theta_loss: 965.048,  ess: 4.371
(107s) phi_loss: -591.662,  theta_loss: 957.324,  ess: 4.369
(114s) phi_loss: -592.134,  theta_loss: 965.753,  ess: 4.374
(112s) phi_loss: -592.453,  theta_loss: 954.580,  ess: 4.365
(113s) phi_loss: -591.902,  theta_loss: 957.058,  ess: 4.359
(114s) phi_loss: -591.345,  theta_loss: 958.241,  ess: 4.371
(115s) phi_loss: -592.665,  theta_loss: 955.350,  ess: 4.349
(114s) phi_loss: -591.556,  theta_loss: 959.976,  ess: 4.362
(110s) phi_loss: -590.664,  theta_loss: 956.431,  ess: 4.366
(112s) phi_loss: -591.354,  theta_loss: 953.414,  ess: 4.356
(108s) phi_loss: -591.508,  theta_loss: 953.567,  ess: 4.355
(108s) phi_loss: -590.891,  theta_loss: 969.593,  ess: 4.385
(109s) phi_loss: -592.223,  theta_loss: 939.193,  ess: 4.364
(113s) phi_loss: -591.301,  theta_loss: 955.398,  ess: 4.377
(112s) phi_loss: -592.240,  theta_loss: 941.860,  ess: 4.368
(114s) phi_loss: -591.300,  theta_loss: 956.579,  ess: 4.375
(114s) phi_loss: -590.898,  theta_loss: 966.490,  ess: 4.362
(114s) phi_loss: -590.927,  theta_loss: 961.033,  ess: 4.370
(113s) phi_loss: -591.834,  theta_loss: 952.408,  ess: 4.369
(111s) phi_loss: -590.717,  theta_loss: 952.110,  ess: 4.386
(106s) phi_loss: -589.794,  theta_loss: 967.498,  ess: 4.388
(106s) phi_loss: -589.725,  theta_loss: 964.970,  ess: 4.386
(106s) phi_loss: -591.105,  theta_loss: 953.393,  ess: 4.361
(106s) phi_loss: -591.032,  theta_loss: 963.026,  ess: 4.379
(106s) phi_loss: -590.324,  theta_loss: 950.710,  ess: 4.365
(107s) phi_loss: -589.243,  theta_loss: 958.943,  ess: 4.370
(106s) phi_loss: -588.532,  theta_loss: 976.431,  ess: 4.377
(107s) phi_loss: -588.328,  theta_loss: 985.302,  ess: 4.398
(114s) phi_loss: -589.915,  theta_loss: 954.729,  ess: 4.402
(113s) phi_loss: -587.520,  theta_loss: 980.379,  ess: 4.382
(114s) phi_loss: -588.606,  theta_loss: 972.549,  ess: 4.380
(113s) phi_loss: -589.223,  theta_loss: 970.242,  ess: 4.363
(114s) phi_loss: -589.093,  theta_loss: 959.899,  ess: 4.380
(114s) phi_loss: -588.591,  theta_loss: 966.625,  ess: 4.376
(113s) phi_loss: -589.639,  theta_loss: 963.150,  ess: 4.380
(112s) phi_loss: -586.789,  theta_loss: 986.481,  ess: 4.386
(107s) phi_loss: -588.525,  theta_loss: 970.608,  ess: 4.386
(113s) phi_loss: -587.286,  theta_loss: 972.556,  ess: 4.376
(114s) phi_loss: -590.464,  theta_loss: 955.341,  ess: 4.363
(114s) phi_loss: -587.910,  theta_loss: 975.203,  ess: 4.386
(114s) phi_loss: -590.472,  theta_loss: 955.321,  ess: 4.363
(109s) phi_loss: -588.912,  theta_loss: 973.280,  ess: 4.359
(106s) phi_loss: -589.169,  theta_loss: 970.761,  ess: 4.395
(106s) phi_loss: -589.440,  theta_loss: 969.159,  ess: 4.354
(106s) phi_loss: -589.217,  theta_loss: 973.041,  ess: 4.400
(106s) phi_loss: -587.950,  theta_loss: 974.847,  ess: 4.401
(106s) phi_loss: -586.538,  theta_loss: 989.978,  ess: 4.403
(106s) phi_loss: -587.039,  theta_loss: 980.061,  ess: 4.404
(107s) phi_loss: -589.124,  theta_loss: 970.502,  ess: 4.367
(106s) phi_loss: -586.172,  theta_loss: 994.475,  ess: 4.393
(110s) phi_loss: -587.729,  theta_loss: 967.077,  ess: 4.396
(114s) phi_loss: -587.491,  theta_loss: 971.689,  ess: 4.389
(114s) phi_loss: -587.868,  theta_loss: 977.779,  ess: 4.394
(114s) phi_loss: -588.401,  theta_loss: 972.459,  ess: 4.390
(112s) phi_loss: -587.108,  theta_loss: 983.387,  ess: 4.374
(110s) phi_loss: -587.261,  theta_loss: 980.701,  ess: 4.410
(106s) phi_loss: -588.064,  theta_loss: 974.673,  ess: 4.375
(106s) phi_loss: -587.559,  theta_loss: 980.923,  ess: 4.400
(106s) phi_loss: -586.605,  theta_loss: 987.163,  ess: 4.406
(106s) phi_loss: -587.434,  theta_loss: 981.772,  ess: 4.415
(106s) phi_loss: -586.427,  theta_loss: 993.893,  ess: 4.404
(106s) phi_loss: -587.295,  theta_loss: 972.155,  ess: 4.384
(106s) phi_loss: -587.016,  theta_loss: 986.860,  ess: 4.407
(106s) phi_loss: -585.963,  theta_loss: 977.733,  ess: 4.407
(106s) phi_loss: -586.347,  theta_loss: 977.111,  ess: 4.398
(110s) phi_loss: -586.731,  theta_loss: 979.590,  ess: 4.395
(114s) phi_loss: -586.316,  theta_loss: 975.257,  ess: 4.378
(113s) phi_loss: -586.902,  theta_loss: 985.201,  ess: 4.390
(114s) phi_loss: -586.007,  theta_loss: 994.286,  ess: 4.414
(113s) phi_loss: -586.605,  theta_loss: 984.668,  ess: 4.407
(114s) phi_loss: -587.257,  theta_loss: 990.812,  ess: 4.388
(114s) phi_loss: -585.519,  theta_loss: 988.448,  ess: 4.411
(114s) phi_loss: -587.254,  theta_loss: 978.542,  ess: 4.400
(114s) phi_loss: -586.559,  theta_loss: 987.259,  ess: 4.403
(108s) phi_loss: -587.275,  theta_loss: 972.209,  ess: 4.402
(107s) phi_loss: -587.149,  theta_loss: 988.342,  ess: 4.411
(109s) phi_loss: -585.529,  theta_loss: 991.298,  ess: 4.407
(114s) phi_loss: -585.808,  theta_loss: 982.608,  ess: 4.406
(110s) phi_loss: -586.252,  theta_loss: 982.549,  ess: 4.414
(110s) phi_loss: -586.370,  theta_loss: 979.843,  ess: 4.419
(110s) phi_loss: -586.465,  theta_loss: 990.796,  ess: 4.411
(111s) phi_loss: -584.069,  theta_loss: 1006.352,  ess: 4.434
(111s) phi_loss: -584.942,  theta_loss: 987.246,  ess: 4.423
(109s) phi_loss: -585.737,  theta_loss: 986.556,  ess: 4.415
(106s) phi_loss: -586.120,  theta_loss: 978.475,  ess: 4.405
(106s) phi_loss: -586.299,  theta_loss: 977.428,  ess: 4.406
(106s) phi_loss: -585.831,  theta_loss: 988.582,  ess: 4.406
(106s) phi_loss: -583.875,  theta_loss: 1006.040,  ess: 4.424
(106s) phi_loss: -585.233,  theta_loss: 994.964,  ess: 4.436
(106s) phi_loss: -584.518,  theta_loss: 1011.674,  ess: 4.427
(106s) phi_loss: -584.998,  theta_loss: 992.231,  ess: 4.422
(106s) phi_loss: -584.332,  theta_loss: 1002.421,  ess: 4.420
(105s) phi_loss: -583.292,  theta_loss: 998.758,  ess: 4.431
(106s) phi_loss: -585.082,  theta_loss: 995.496,  ess: 4.417
(106s) phi_loss: -585.634,  theta_loss: 987.474,  ess: 4.384
(106s) phi_loss: -584.258,  theta_loss: 1007.524,  ess: 4.422
(109s) phi_loss: -584.426,  theta_loss: 999.765,  ess: 4.414
(113s) phi_loss: -584.926,  theta_loss: 1004.251,  ess: 4.420
(113s) phi_loss: -585.285,  theta_loss: 983.598,  ess: 4.422
(106s) phi_loss: -584.502,  theta_loss: 997.802,  ess: 4.412
(106s) phi_loss: -584.114,  theta_loss: 1010.547,  ess: 4.439
(106s) phi_loss: -583.939,  theta_loss: 1012.287,  ess: 4.437
(108s) phi_loss: -582.956,  theta_loss: 997.600,  ess: 4.426
(113s) phi_loss: -583.748,  theta_loss: 1005.342,  ess: 4.418
(106s) phi_loss: -583.322,  theta_loss: 1013.058,  ess: 4.437
(106s) phi_loss: -584.222,  theta_loss: 997.460,  ess: 4.428
(106s) phi_loss: -582.799,  theta_loss: 1007.899,  ess: 4.431
(106s) phi_loss: -582.556,  theta_loss: 1011.338,  ess: 4.417
(106s) phi_loss: -583.790,  theta_loss: 1005.978,  ess: 4.428
(106s) phi_loss: -583.299,  theta_loss: 1016.843,  ess: 4.432
(106s) phi_loss: -583.590,  theta_loss: 1009.953,  ess: 4.442
(106s) phi_loss: -583.599,  theta_loss: 994.870,  ess: 4.436
(106s) phi_loss: -583.499,  theta_loss: 1003.618,  ess: 4.419
(106s) phi_loss: -583.715,  theta_loss: 1003.938,  ess: 4.438
(107s) phi_loss: -583.220,  theta_loss: 1010.078,  ess: 4.426
(106s) phi_loss: -583.783,  theta_loss: 1004.876,  ess: 4.433
(106s) phi_loss: -582.578,  theta_loss: 1014.254,  ess: 4.447
(106s) phi_loss: -582.245,  theta_loss: 1011.773,  ess: 4.442
(106s) phi_loss: -581.077,  theta_loss: 1017.407,  ess: 4.420
(106s) phi_loss: -582.252,  theta_loss: 1012.489,  ess: 4.450
(106s) phi_loss: -583.345,  theta_loss: 1001.095,  ess: 4.430
(107s) phi_loss: -582.995,  theta_loss: 997.500,  ess: 4.405
(108s) phi_loss: -581.886,  theta_loss: 1031.613,  ess: 4.451
