EUBOs, ELBOs, ESSs
-172.051080322, -196.740100098, 1.7074595809
-172.140644836, -197.440794373, 1.66036660671
-172.113580322, -197.231446838, 1.68910632133
-171.935317993, -197.029595947, 1.67215664387
-171.952786255, -196.559072876, 1.70568598509
-171.947615051, -196.798110962, 1.70785132647
-171.834967041, -196.415023804, 1.70027859211
-171.828684998, -196.876715088, 1.71385105848
-171.762640381, -196.832540894, 1.6816968441
-171.904324341, -196.890014648, 1.68822646141
-172.057003784, -196.879898071, 1.69311727285
-172.219110107, -196.909661865, 1.71153260469
-171.930867004, -197.014381409, 1.66729832888
-171.941889954, -196.545048523, 1.68910011053
-171.849223328, -196.874026489, 1.68491094112
-171.88712616, -196.740527344, 1.68950171471
-171.779348755, -196.623786926, 1.69951375723
-172.043647766, -196.840309143, 1.68833745718
-172.117811584, -196.462643433, 1.71479201317
-171.997579956, -196.681025696, 1.70103137493
-172.005187988, -196.724888611, 1.69438916445
-171.766246033, -196.481564331, 1.70710022449
-171.925733948, -196.253117371, 1.69978656769
-171.760383606, -196.477359009, 1.7162637949
-171.920567322, -196.828971863, 1.67284010649
-172.242681885, -197.192192078, 1.6698315382
-172.122944641, -196.762309265, 1.69126141071
-171.832914734, -196.718180847, 1.70049260855
-172.161071777, -196.758843994, 1.7083409667
-171.807292175, -196.520448303, 1.69076749086
-171.763438416, -196.497589111, 1.69573706388
-172.096604919, -196.937571716, 1.69243768454
-172.068360901, -196.838366699, 1.68438472748
-172.031681824, -196.602026367, 1.70585947037
-171.993641663, -196.594572449, 1.68893951178
-171.863175964, -196.614024353, 1.70612325668
-171.808227539, -196.570922852, 1.6938985467
-171.98120575, -196.66421814, 1.69480097294
-171.646858215, -196.316442871, 1.7140521884
-171.685664368, -196.35896759, 1.68545842171
-172.154682922, -196.744602966, 1.71461281776
-171.81804657, -196.509222412, 1.70237002373
-171.958773804, -196.470993042, 1.71017869711
-171.749105835, -196.438421631, 1.69705542326
-171.795046997, -196.90209198, 1.67702860832
