EUBO, ELBO, ESS, KLs_eta_ex, KLs_eta_in, KL_z_ex, KL_z_in
-190.450810089, -206.012807617, 1.47407379866, 31.3619018173, 14.52320117, 1.43331536174, 0.918086089492
-190.410966644, -205.754240112, 1.47760612011, 30.8643005371, 14.0197020149, 1.35401825368, 0.925924204588
-190.556331787, -205.644910126, 1.47507512569, 30.9120848083, 14.6032492352, 1.39765005827, 0.906398450136
-190.594354248, -206.15393158, 1.46778360009, 31.9298683167, 14.6909655571, 1.30390643835, 0.897145420313
-190.638796997, -206.442684021, 1.47611257911, 31.9571480942, 14.679337492, 1.45636528432, 0.906292043328
-190.540755768, -206.467691498, 1.46972311139, 32.5331574059, 14.5813984489, 1.25619000375, 0.88075666666
-190.529908142, -205.789562683, 1.47371408701, 31.6546386337, 14.6291203403, 1.29554476261, 0.889915491343
-190.462201233, -205.95501236, 1.46935505986, 30.7894390869, 14.5015869427, 1.45752873778, 0.913122714758
-190.483234406, -205.424133148, 1.49381918669, 30.3187178993, 14.4672350693, 1.33771142185, 0.932619846463
-190.066019592, -205.841511993, 1.46470309973, 31.6528199768, 14.0393967915, 1.40279076219, 0.891904944181
-190.271333008, -205.945711517, 1.46196242809, 31.9432018471, 14.2313836765, 1.3076779139, 0.882176615
-190.266023254, -205.960861511, 1.47304842472, 31.5411000252, 13.9388939953, 1.26948501289, 0.857443860173
-190.400876617, -206.341364441, 1.4700097394, 30.9516538811, 14.2397654247, 1.34919572294, 0.877471081018
-190.330754852, -205.770724792, 1.50529826403, 30.7826843452, 14.1609743118, 1.4780595237, 0.854962891936
-190.214501801, -205.620787354, 1.4799443996, 31.2903175354, 14.1432889175, 1.25428943276, 0.871175264716
-190.087888336, -205.380411377, 1.47829961419, 31.818719883, 14.1289259911, 1.27552794814, 0.875000329018
-190.301605377, -205.971710205, 1.46044169784, 31.7547670364, 14.2650818443, 1.31851374269, 0.852349127531
-190.27658905, -205.329053955, 1.49215254784, 30.7296390724, 14.2985210323, 1.27644567966, 0.869644525647
