(253s) loss: 27.887,  ess: 9.219,  kl_eta_ex: 0.002,  kl_eta_in: 0.002,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.988,  ess: 9.217,  kl_eta_ex: 0.002,  kl_eta_in: 0.002,  kl_z_ex: 0.003,  kl_z_in: 0.001
(251s) loss: 27.988,  ess: 9.227,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.003,  kl_z_in: 0.001
(248s) loss: 27.953,  ess: 9.228,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.003,  kl_z_in: 0.001
(254s) loss: 27.969,  ess: 9.232,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.003,  kl_z_in: 0.001
(251s) loss: 27.941,  ess: 9.236,  kl_eta_ex: 0.001,  kl_eta_in: 0.001,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.956,  ess: 9.233,  kl_eta_ex: 0.001,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(252s) loss: 27.969,  ess: 9.236,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(252s) loss: 27.857,  ess: 9.237,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.960,  ess: 9.240,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(254s) loss: 27.906,  ess: 9.238,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(250s) loss: 27.961,  ess: 9.232,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(254s) loss: 27.976,  ess: 9.231,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(254s) loss: 28.104,  ess: 9.230,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
(254s) loss: 28.051,  ess: 9.233,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.003,  kl_z_in: 0.001
(253s) loss: 27.994,  ess: 9.230,  kl_eta_ex: 0.000,  kl_eta_in: 0.000,  kl_z_ex: 0.002,  kl_z_in: 0.001
