symKL_DB_eta: 2.328,  symKL_DB_z: 0.759,  loss: -422.109,  ess: 8.369,  kl_eta_ex: 0.032,  kl_eta_in: 0.034,  kl_z_ex: 0.146,  kl_z_in: 0.057
symKL_DB_eta: 2.298,  symKL_DB_z: 0.737,  loss: -422.175,  ess: 8.378,  kl_eta_ex: 0.026,  kl_eta_in: 0.026,  kl_z_ex: 0.146,  kl_z_in: 0.056
symKL_DB_eta: 2.283,  symKL_DB_z: 0.747,  loss: -422.163,  ess: 8.388,  kl_eta_ex: 0.022,  kl_eta_in: 0.021,  kl_z_ex: 0.143,  kl_z_in: 0.056
symKL_DB_eta: 2.274,  symKL_DB_z: 0.744,  loss: -422.015,  ess: 8.387,  kl_eta_ex: 0.018,  kl_eta_in: 0.017,  kl_z_ex: 0.139,  kl_z_in: 0.054
symKL_DB_eta: 2.231,  symKL_DB_z: 0.741,  loss: -422.189,  ess: 8.404,  kl_eta_ex: 0.016,  kl_eta_in: 0.014,  kl_z_ex: 0.144,  kl_z_in: 0.055
symKL_DB_eta: 2.222,  symKL_DB_z: 0.724,  loss: -422.148,  ess: 8.405,  kl_eta_ex: 0.014,  kl_eta_in: 0.012,  kl_z_ex: 0.141,  kl_z_in: 0.053
symKL_DB_eta: 2.218,  symKL_DB_z: 0.711,  loss: -422.221,  ess: 8.406,  kl_eta_ex: 0.014,  kl_eta_in: 0.011,  kl_z_ex: 0.140,  kl_z_in: 0.054
symKL_DB_eta: 2.216,  symKL_DB_z: 0.694,  loss: -422.035,  ess: 8.411,  kl_eta_ex: 0.011,  kl_eta_in: 0.010,  kl_z_ex: 0.136,  kl_z_in: 0.053
symKL_DB_eta: 2.204,  symKL_DB_z: 0.681,  loss: -422.184,  ess: 8.409,  kl_eta_ex: 0.011,  kl_eta_in: 0.009,  kl_z_ex: 0.139,  kl_z_in: 0.054
symKL_DB_eta: 2.193,  symKL_DB_z: 0.702,  loss: -422.286,  ess: 8.418,  kl_eta_ex: 0.010,  kl_eta_in: 0.007,  kl_z_ex: 0.135,  kl_z_in: 0.051
symKL_DB_eta: 2.200,  symKL_DB_z: 0.741,  loss: -422.161,  ess: 8.414,  kl_eta_ex: 0.010,  kl_eta_in: 0.007,  kl_z_ex: 0.136,  kl_z_in: 0.052
symKL_DB_eta: 2.179,  symKL_DB_z: 0.668,  loss: -422.110,  ess: 8.422,  kl_eta_ex: 0.009,  kl_eta_in: 0.006,  kl_z_ex: 0.135,  kl_z_in: 0.050
