eubo: -359.562,  elbo: -415.210,  ess: 1.119
eubo: -360.572,  elbo: -413.257,  ess: 1.108
eubo: -359.692,  elbo: -414.206,  ess: 1.127
eubo: -361.096,  elbo: -414.465,  ess: 1.109
eubo: -355.976,  elbo: -408.529,  ess: 1.121
eubo: -361.311,  elbo: -415.113,  ess: 1.130
eubo: -353.931,  elbo: -404.225,  ess: 1.120
eubo: -352.932,  elbo: -402.696,  ess: 1.134
eubo: -359.328,  elbo: -412.512,  ess: 1.107
eubo: -362.168,  elbo: -418.370,  ess: 1.114
eubo: -356.961,  elbo: -409.622,  ess: 1.097
eubo: -355.440,  elbo: -405.614,  ess: 1.106
eubo: -353.155,  elbo: -406.524,  ess: 1.103
eubo: -355.459,  elbo: -409.949,  ess: 1.123
eubo: -356.441,  elbo: -408.235,  ess: 1.123
eubo: -358.937,  elbo: -414.451,  ess: 1.113
eubo: -358.308,  elbo: -412.694,  ess: 1.125
eubo: -360.820,  elbo: -414.113,  ess: 1.120
eubo: -359.818,  elbo: -415.826,  ess: 1.109
eubo: -354.792,  elbo: -407.621,  ess: 1.112
eubo: -362.608,  elbo: -416.431,  ess: 1.132
eubo: -357.582,  elbo: -409.519,  ess: 1.118
eubo: -354.597,  elbo: -409.541,  ess: 1.103
eubo: -355.272,  elbo: -409.508,  ess: 1.105
eubo: -359.996,  elbo: -414.655,  ess: 1.122
eubo: -357.881,  elbo: -412.703,  ess: 1.111
eubo: -360.581,  elbo: -414.946,  ess: 1.115
eubo: -356.621,  elbo: -412.563,  ess: 1.116
eubo: -361.033,  elbo: -414.924,  ess: 1.118
eubo: -360.172,  elbo: -412.093,  ess: 1.118
