symKL_DB_eta: 123.004,  symKL_DB_z: 32.288,  gap_eta: 75.434,  gap_z: 37.652,  loss: -3603.023,  ess: 6.085
symKL_DB_eta: 91.745,  symKL_DB_z: 19.669,  gap_eta: 74.158,  gap_z: 25.449,  loss: -3338.947,  ess: 6.084
symKL_DB_eta: 84.189,  symKL_DB_z: 20.269,  gap_eta: 74.063,  gap_z: 24.034,  loss: -3326.042,  ess: 6.088
symKL_DB_eta: 81.776,  symKL_DB_z: 20.683,  gap_eta: 73.195,  gap_z: 26.804,  loss: -3459.528,  ess: 6.092
symKL_DB_eta: 89.437,  symKL_DB_z: 18.140,  gap_eta: 72.552,  gap_z: 22.682,  loss: -3337.905,  ess: 6.083
symKL_DB_eta: 81.687,  symKL_DB_z: 29.998,  gap_eta: 72.478,  gap_z: 35.545,  loss: -3595.906,  ess: 6.098
symKL_DB_eta: 81.195,  symKL_DB_z: 27.624,  gap_eta: 72.266,  gap_z: 33.207,  loss: -3232.879,  ess: 6.103
symKL_DB_eta: 80.651,  symKL_DB_z: 32.108,  gap_eta: 72.066,  gap_z: 37.835,  loss: -3541.185,  ess: 6.102
symKL_DB_eta: 80.219,  symKL_DB_z: 28.100,  gap_eta: 71.422,  gap_z: 25.670,  loss: -3448.883,  ess: 6.097
symKL_DB_eta: 103.784,  symKL_DB_z: 18.919,  gap_eta: 70.465,  gap_z: 24.418,  loss: -3317.754,  ess: 6.104
symKL_DB_eta: 89.687,  symKL_DB_z: 29.570,  gap_eta: 69.833,  gap_z: 25.052,  loss: -3372.932,  ess: 6.105
symKL_DB_eta: 78.545,  symKL_DB_z: 27.377,  gap_eta: 69.779,  gap_z: 33.025,  loss: -3377.929,  ess: 6.101
symKL_DB_eta: 79.137,  symKL_DB_z: 17.403,  gap_eta: 70.092,  gap_z: 22.897,  loss: -3226.949,  ess: 6.108
symKL_DB_eta: 86.237,  symKL_DB_z: 28.838,  gap_eta: 69.527,  gap_z: 33.032,  loss: -3387.145,  ess: 6.111
symKL_DB_eta: 149.777,  symKL_DB_z: 21.911,  gap_eta: 71.185,  gap_z: 22.128,  loss: -3276.972,  ess: 6.115
symKL_DB_eta: 94.170,  symKL_DB_z: 19.346,  gap_eta: 68.904,  gap_z: 23.254,  loss: -3224.929,  ess: 6.120
symKL_DB_eta: 81.084,  symKL_DB_z: 19.723,  gap_eta: 67.750,  gap_z: 25.249,  loss: -3141.739,  ess: 6.123
symKL_DB_eta: 88.802,  symKL_DB_z: 22.240,  gap_eta: 68.275,  gap_z: 26.495,  loss: -3417.509,  ess: 6.113
symKL_DB_eta: 77.810,  symKL_DB_z: 19.322,  gap_eta: 68.009,  gap_z: 25.571,  loss: -3472.515,  ess: 6.125
symKL_DB_eta: 74.712,  symKL_DB_z: 16.585,  gap_eta: 66.194,  gap_z: 22.194,  loss: -3166.768,  ess: 6.127
symKL_DB_eta: 83.950,  symKL_DB_z: 25.545,  gap_eta: 66.754,  gap_z: 27.458,  loss: -3350.372,  ess: 6.128
symKL_DB_eta: 89.355,  symKL_DB_z: 15.591,  gap_eta: 66.850,  gap_z: 21.613,  loss: -3247.247,  ess: 6.132
symKL_DB_eta: 90.059,  symKL_DB_z: 15.249,  gap_eta: 66.886,  gap_z: 20.850,  loss: -3278.160,  ess: 6.129
