symKL_DB_eta: 614.018,  symKL_DB_z: 8.138,  gap: 612.539,  loss: -4270.579,  ess: 5.492
symKL_DB_eta: 615.484,  symKL_DB_z: 8.026,  gap: 613.853,  loss: -4269.938,  ess: 5.490
symKL_DB_eta: 610.526,  symKL_DB_z: 8.430,  gap: 609.322,  loss: -4265.140,  ess: 5.493
symKL_DB_eta: 606.781,  symKL_DB_z: 7.910,  gap: 605.045,  loss: -4265.785,  ess: 5.493
symKL_DB_eta: 605.417,  symKL_DB_z: 7.729,  gap: 604.155,  loss: -4252.998,  ess: 5.493
symKL_DB_eta: 606.324,  symKL_DB_z: 7.419,  gap: 604.787,  loss: -4248.968,  ess: 5.494
symKL_DB_eta: 610.991,  symKL_DB_z: 7.567,  gap: 609.320,  loss: -4249.066,  ess: 5.495
symKL_DB_eta: 608.212,  symKL_DB_z: 7.691,  gap: 606.684,  loss: -4249.027,  ess: 5.494
symKL_DB_eta: 598.839,  symKL_DB_z: 7.364,  gap: 597.563,  loss: -4248.882,  ess: 5.495
symKL_DB_eta: 597.101,  symKL_DB_z: 7.612,  gap: 595.273,  loss: -4239.050,  ess: 5.497
symKL_DB_eta: 598.026,  symKL_DB_z: 7.430,  gap: 596.139,  loss: -4229.112,  ess: 5.496
symKL_DB_eta: 596.869,  symKL_DB_z: 7.047,  gap: 595.502,  loss: -4229.543,  ess: 5.497
symKL_DB_eta: 594.499,  symKL_DB_z: 7.085,  gap: 592.827,  loss: -4227.542,  ess: 5.497
symKL_DB_eta: 591.874,  symKL_DB_z: 7.360,  gap: 590.342,  loss: -4234.439,  ess: 5.496
symKL_DB_eta: 589.790,  symKL_DB_z: 7.326,  gap: 588.232,  loss: -4227.319,  ess: 5.497
symKL_DB_eta: 592.488,  symKL_DB_z: 7.165,  gap: 590.354,  loss: -4224.074,  ess: 5.498
symKL_DB_eta: 587.443,  symKL_DB_z: 7.051,  gap: 586.077,  loss: -4222.177,  ess: 5.498
symKL_DB_eta: 589.198,  symKL_DB_z: 7.059,  gap: 587.564,  loss: -4221.113,  ess: 5.497
symKL_DB_eta: 588.599,  symKL_DB_z: 7.143,  gap: 586.715,  loss: -4227.183,  ess: 5.498
symKL_DB_eta: 585.845,  symKL_DB_z: 6.762,  gap: 584.001,  loss: -4220.094,  ess: 5.500
