EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-200.956	-201.286	9.123	0.183	0.205
-200.945	-201.275	9.132	0.177	0.198
-200.968	-201.280	9.164	0.172	0.192
-200.965	-201.271	9.186	0.167	0.186
-200.970	-201.268	9.194	0.162	0.180
-200.955	-201.255	9.201	0.157	0.174
-200.977	-201.254	9.244	0.152	0.169
-200.986	-201.259	9.250	0.148	0.164
-200.980	-201.246	9.270	0.144	0.159
-200.970	-201.235	9.278	0.139	0.154
-200.976	-201.230	9.303	0.135	0.149
-200.987	-201.232	9.316	0.131	0.144
-200.981	-201.223	9.331	0.127	0.140
-200.997	-201.230	9.340	0.124	0.136
-200.999	-201.227	9.364	0.120	0.132
-200.993	-201.219	9.368	0.116	0.128
-200.997	-201.214	9.387	0.113	0.124
-200.998	-201.214	9.391	0.110	0.120
-200.997	-201.208	9.403	0.107	0.116
-200.995	-201.200	9.418	0.103	0.113
-201.010	-201.209	9.435	0.101	0.110
-201.008	-201.199	9.451	0.098	0.106
-201.008	-201.197	9.455	0.095	0.103
-201.012	-201.195	9.470	0.092	0.100
-201.021	-201.192	9.496	0.089	0.097
-201.014	-201.186	9.496	0.086	0.094
-201.009	-201.179	9.503	0.084	0.091
-201.016	-201.180	9.515	0.082	0.088
-201.016	-201.177	9.525	0.079	0.085
-201.023	-201.180	9.541	0.077	0.083
-201.025	-201.180	9.541	0.075	0.081
-201.017	-201.169	9.554	0.072	0.078
-201.030	-201.174	9.571	0.070	0.076
-201.039	-201.179	9.579	0.069	0.074
-201.034	-201.171	9.585	0.067	0.072
-201.033	-201.171	9.587	0.065	0.069
-201.029	-201.163	9.595	0.063	0.067
-201.031	-201.163	9.608	0.061	0.065
-201.032	-201.159	9.618	0.059	0.064
-201.041	-201.164	9.625	0.058	0.062
-201.030	-201.156	9.620	0.056	0.060
-201.036	-201.153	9.643	0.054	0.058
-201.038	-201.156	9.640	0.053	0.056
-201.043	-201.156	9.653	0.051	0.055
-201.038	-201.149	9.658	0.050	0.053
-201.042	-201.150	9.667	0.048	0.051
-201.043	-201.151	9.669	0.047	0.050
-201.046	-201.148	9.681	0.046	0.049
-201.052	-201.153	9.685	0.045	0.048
-201.043	-201.142	9.690	0.043	0.046
-201.051	-201.146	9.701	0.042	0.045
-201.047	-201.145	9.696	0.041	0.044
-201.047	-201.142	9.704	0.040	0.042
-201.053	-201.142	9.720	0.039	0.041
-201.047	-201.139	9.715	0.038	0.040
-201.052	-201.140	9.723	0.037	0.039
-201.048	-201.135	9.729	0.036	0.038
-201.052	-201.137	9.733	0.035	0.037
-201.051	-201.134	9.739	0.034	0.036
-201.055	-201.136	9.743	0.033	0.034
-201.051	-201.131	9.747	0.032	0.034
-201.053	-201.130	9.756	0.031	0.033
-201.054	-201.130	9.760	0.030	0.032
-201.056	-201.132	9.759	0.029	0.031
-201.057	-201.131	9.763	0.029	0.030
-201.058	-201.133	9.765	0.028	0.029
-201.057	-201.128	9.773	0.027	0.028
-201.060	-201.130	9.778	0.027	0.028
-201.060	-201.129	9.780	0.026	0.027
-201.062	-201.130	9.785	0.025	0.026
-201.060	-201.125	9.791	0.024	0.025
-201.061	-201.125	9.792	0.024	0.025
-201.059	-201.123	9.796	0.023	0.024
