EUBO	ELBO	ESS	AKLs_ex	AKLs_in
-212.128	-312.969	1.723	112.085	17.577
-212.322	-314.314	1.712	113.055	17.953
-212.148	-317.891	1.722	115.057	17.195
-212.171	-311.008	1.726	111.077	17.805
-211.502	-312.298	1.722	110.576	17.433
-211.898	-313.283	1.720	111.947	17.309
-212.039	-313.578	1.718	112.092	17.648
-212.045	-317.165	1.728	114.095	17.346
-211.641	-313.740	1.729	112.676	17.058
-212.252	-313.145	1.746	111.067	17.564
-211.952	-313.633	1.723	113.555	17.645
-211.626	-311.676	1.723	112.109	17.377
-211.928	-312.736	1.722	111.593	17.632
-212.482	-313.802	1.722	112.752	18.084
-211.341	-313.048	1.721	112.196	16.967
-211.953	-312.058	1.736	111.860	17.026
-211.859	-311.730	1.730	110.348	17.319
-211.860	-312.846	1.725	110.623	17.310
-211.811	-311.227	1.739	110.417	17.236
-212.029	-312.125	1.736	110.831	17.270
-211.548	-311.661	1.731	111.205	17.217
-211.780	-312.171	1.734	111.570	16.988
-211.929	-312.619	1.733	111.768	17.161
-212.436	-313.862	1.730	113.024	17.550
-211.722	-311.877	1.745	111.386	17.667
-211.343	-314.648	1.736	112.314	16.784
-211.517	-313.773	1.738	111.856	17.025
-211.288	-310.999	1.746	110.495	16.877
-212.361	-309.979	1.728	108.395	17.992
-211.564	-309.142	1.744	107.894	16.987
-211.915	-310.655	1.735	108.957	17.273
-211.174	-310.703	1.753	109.586	16.929
-211.629	-311.193	1.753	109.837	16.920
-211.859	-312.296	1.757	111.352	16.972
-211.749	-311.533	1.741	109.514	17.233
-211.639	-313.073	1.743	111.231	17.335
-211.800	-311.032	1.739	109.947	17.111
-211.367	-310.931	1.756	108.618	16.732
-211.386	-311.581	1.752	110.168	16.865
-211.020	-309.134	1.740	109.859	16.878
-211.705	-312.311	1.741	110.313	16.881
-211.358	-312.273	1.747	110.622	16.540
-211.153	-309.979	1.755	109.303	16.778
-210.965	-312.835	1.745	109.952	16.523
-211.235	-310.429	1.766	110.164	16.740
-211.607	-310.918	1.749	110.038	16.918
-211.073	-311.768	1.753	110.173	16.312
-210.799	-310.132	1.758	109.812	16.467
-211.633	-311.396	1.756	108.385	17.180
-211.020	-310.140	1.752	108.575	16.758
-211.021	-309.617	1.766	109.137	16.731
-210.835	-310.860	1.761	109.872	16.422
-210.709	-311.154	1.729	110.986	16.793
-210.939	-308.426	1.770	108.717	16.415
-210.567	-308.428	1.750	109.106	16.535
-210.794	-308.115	1.747	107.483	16.479
-210.750	-306.253	1.753	106.617	16.513
-210.941	-307.579	1.771	106.694	16.539
-210.512	-308.269	1.763	107.340	16.595
-210.970	-307.912	1.757	107.442	16.251
-211.389	-308.268	1.757	108.313	17.076
-211.200	-310.836	1.757	109.490	16.655
-210.812	-310.058	1.744	107.849	16.478
-210.392	-307.251	1.755	106.703	16.200
-211.168	-309.694	1.761	106.973	16.286
-210.625	-307.089	1.780	106.468	16.015
-211.394	-311.681	1.767	108.975	16.692
