EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-199.413	-223.949	3.453	24.948	5.765	24.948	5.765
-199.547	-224.033	3.458	24.808	5.876	24.808	5.876
-199.396	-223.651	3.482	24.395	5.735	24.395	5.735
-199.399	-223.384	3.490	24.368	5.730	24.368	5.730
-199.431	-223.251	3.499	24.156	5.669	24.156	5.669
-199.425	-223.357	3.496	24.248	5.715	24.248	5.715
-199.453	-223.478	3.513	24.476	5.616	24.476	5.616
-199.458	-223.012	3.520	23.848	5.637	23.848	5.637
-199.265	-222.721	3.536	23.718	5.635	23.718	5.635
-199.226	-222.223	3.573	23.309	5.555	23.309	5.555
-199.327	-222.473	3.559	23.179	5.546	23.179	5.546
-199.168	-222.280	3.544	23.098	5.562	23.098	5.562
-199.387	-222.537	3.571	23.452	5.523	23.452	5.523
-199.319	-222.675	3.577	23.286	5.492	23.286	5.492
-199.297	-222.130	3.601	22.986	5.483	22.986	5.483
-199.241	-221.487	3.607	22.683	5.448	22.683	5.448
-199.252	-221.981	3.619	22.860	5.400	22.860	5.400
-199.281	-221.760	3.618	22.663	5.415	22.663	5.415
-199.234	-221.545	3.628	22.489	5.393	22.489	5.393
-199.274	-221.577	3.633	22.505	5.377	22.505	5.377
-199.157	-221.023	3.656	21.802	5.389	21.802	5.389
-199.189	-220.920	3.652	21.674	5.361	21.674	5.361
-199.261	-220.894	3.701	21.569	5.271	21.569	5.271
-199.162	-220.344	3.679	21.467	5.286	21.467	5.286
-199.116	-220.338	3.698	21.205	5.283	21.205	5.283
-199.154	-220.229	3.718	21.286	5.230	21.286	5.230
-199.154	-220.171	3.709	21.105	5.256	21.105	5.256
-199.115	-219.795	3.730	21.024	5.219	21.024	5.219
-199.270	-220.305	3.756	21.179	5.171	21.179	5.171
-199.276	-220.380	3.765	21.049	5.223	21.049	5.223
-199.207	-220.371	3.774	21.233	5.150	21.233	5.150
-199.243	-220.560	3.799	21.031	5.098	21.031	5.098
-199.215	-219.917	3.796	20.917	5.102	20.917	5.102
-199.149	-219.960	3.793	20.647	5.087	20.647	5.087
-198.985	-220.110	3.794	20.841	5.046	20.841	5.046
