EUBO	ELBO	ESS	KLs_mu_ex	KLs_mu_in	KLs_tau_ex	KLs_tau_in
-115.722	-193.300	2.139	158.205	6.952	21.709	5.475
-115.511	-190.709	2.152	156.465	6.757	21.769	5.498
-115.574	-193.158	2.142	158.241	6.891	21.987	5.521
-115.485	-191.891	2.150	157.254	6.815	21.809	5.488
-115.493	-192.806	2.117	155.583	6.913	21.745	5.474
-115.289	-192.355	2.142	153.383	6.775	21.953	5.491
-115.392	-191.702	2.127	154.382	6.829	21.673	5.453
-115.206	-189.814	2.148	154.358	6.711	21.865	5.496
-115.549	-189.761	2.131	153.168	6.813	22.039	5.524
-115.390	-190.848	2.165	151.766	6.769	21.717	5.447
-115.396	-191.792	2.172	150.807	6.703	21.854	5.458
-115.372	-187.881	2.166	150.621	6.755	21.932	5.493
-115.371	-189.172	2.155	151.946	6.808	21.812	5.474
-115.401	-189.943	2.150	151.785	6.765	22.057	5.515
-115.572	-186.803	2.167	149.697	6.731	21.948	5.505
-115.546	-189.420	2.158	149.198	6.781	22.014	5.505
-115.290	-189.845	2.155	148.698	6.638	22.363	5.558
-115.233	-186.380	2.171	148.281	6.728	21.874	5.481
-115.272	-189.508	2.152	148.758	6.784	21.919	5.477
-115.010	-189.299	2.154	150.839	6.586	22.154	5.532
-115.171	-191.322	2.166	148.388	6.621	22.119	5.505
-115.314	-194.359	2.160	147.584	6.674	22.001	5.469
-115.218	-191.412	2.176	147.857	6.575	21.718	5.432
-115.130	-189.158	2.177	145.957	6.704	22.222	5.528
