EUBO	ELBO	ESS	IWKLs_ex	IWKLs_in	AKLs_ex	AKLs_in
-198.994	-218.431	4.055	19.582	5.313	19.582	5.313
-199.006	-217.995	4.033	19.501	5.313	19.501	5.313
-198.892	-217.672	4.064	19.425	5.289	19.425	5.289
-198.970	-217.774	4.078	19.230	5.249	19.230	5.249
-198.791	-217.944	4.063	19.239	5.222	19.239	5.222
-198.940	-217.910	4.110	19.360	5.196	19.360	5.196
-198.901	-217.706	4.094	19.181	5.228	19.181	5.228
-199.081	-217.701	4.079	19.151	5.235	19.151	5.235
-198.842	-217.290	4.121	18.550	5.164	18.550	5.164
-198.895	-217.104	4.114	18.440	5.130	18.440	5.130
-198.898	-217.121	4.106	18.608	5.208	18.608	5.208
-198.842	-216.790	4.128	18.367	5.154	18.367	5.154
-198.812	-216.459	4.172	18.162	5.091	18.162	5.091
-198.878	-216.104	4.168	17.678	5.041	17.678	5.041
-198.860	-216.102	4.180	17.675	5.103	17.675	5.103
-198.712	-216.151	4.200	17.802	5.021	17.802	5.021
-198.876	-216.117	4.211	17.587	5.046	17.587	5.046
-198.637	-216.010	4.208	17.580	5.044	17.580	5.044
-198.745	-216.001	4.215	17.483	4.989	17.483	4.989
-198.765	-216.132	4.230	17.488	4.963	17.488	4.963
-198.987	-216.130	4.238	17.387	5.007	17.387	5.007
-198.862	-215.915	4.254	17.547	4.977	17.547	4.977
-198.653	-215.810	4.262	17.377	4.896	17.377	4.896
-198.818	-215.935	4.277	17.279	4.900	17.279	4.900
-198.815	-215.540	4.311	17.009	4.838	17.009	4.838
-198.875	-215.433	4.310	16.799	4.861	16.799	4.861
-198.743	-215.472	4.295	16.999	4.840	16.999	4.840
-198.807	-215.295	4.312	16.911	4.870	16.911	4.870
-198.727	-215.157	4.320	16.712	4.769	16.712	4.769
-198.666	-215.250	4.321	16.795	4.782	16.795	4.782
-198.807	-215.026	4.353	16.534	4.818	16.534	4.818
-198.778	-214.783	4.364	16.531	4.757	16.531	4.757
-198.719	-214.902	4.370	16.329	4.749	16.329	4.749
-198.665	-214.609	4.360	16.331	4.768	16.331	4.768
-198.868	-214.970	4.369	16.377	4.679	16.377	4.679
-198.740	-214.909	4.358	16.350	4.702	16.350	4.702
-198.810	-214.735	4.386	16.347	4.692	16.347	4.692
-198.772	-214.600	4.406	15.989	4.678	15.989	4.678
-198.879	-214.850	4.395	16.134	4.690	16.134	4.690
-198.706	-214.491	4.409	16.010	4.641	16.010	4.641
-198.738	-214.017	4.419	15.729	4.682	15.729	4.682
-198.852	-214.739	4.411	16.184	4.595	16.184	4.595
-198.722	-214.596	4.411	15.878	4.618	15.878	4.618
-198.732	-214.464	4.439	15.896	4.573	15.896	4.573
-198.688	-214.238	4.445	15.728	4.561	15.728	4.561
-198.859	-214.460	4.451	15.799	4.565	15.799	4.565
-198.630	-214.647	4.456	15.748	4.510	15.748	4.510
-198.687	-214.373	4.471	15.804	4.519	15.804	4.519
-198.698	-214.172	4.482	15.737	4.504	15.737	4.504
-198.762	-214.056	4.459	15.623	4.545	15.623	4.545
-198.663	-214.215	4.478	15.847	4.518	15.847	4.518
-198.763	-214.436	4.467	16.048	4.542	16.048	4.542
-198.738	-214.280	4.462	15.702	4.581	15.702	4.581
-198.749	-214.193	4.500	15.560	4.515	15.560	4.515
-198.750	-214.081	4.499	15.691	4.469	15.691	4.469
-198.654	-213.864	4.477	15.398	4.507	15.398	4.507
-198.932	-214.095	4.497	15.702	4.474	15.702	4.474
-198.648	-213.771	4.514	15.447	4.455	15.447	4.455
-198.666	-213.435	4.522	15.247	4.460	15.247	4.460
-198.693	-213.869	4.527	15.488	4.394	15.488	4.394
-198.680	-213.746	4.528	15.196	4.447	15.196	4.447
-198.920	-214.038	4.514	15.331	4.444	15.331	4.444
