tensor(4.3553, grad_fn=<MeanBackward1>)
tensor(3.8135, grad_fn=<MeanBackward1>)
tensor(4.2406, grad_fn=<MeanBackward1>)
tensor(4.1219, grad_fn=<MeanBackward1>)
tensor(4.5496, grad_fn=<MeanBackward1>)
tensor(3.8758, grad_fn=<MeanBackward1>)
tensor(3.9097, grad_fn=<MeanBackward1>)
tensor(4.2842, grad_fn=<MeanBackward1>)
tensor(4.2607, grad_fn=<MeanBackward1>)
tensor(4.1253, grad_fn=<MeanBackward1>)
tensor(4.2507, grad_fn=<MeanBackward1>)
tensor(3.7919, grad_fn=<MeanBackward1>)
tensor(4.2753, grad_fn=<MeanBackward1>)
tensor(3.9597, grad_fn=<MeanBackward1>)
tensor(4.5611, grad_fn=<MeanBackward1>)
tensor(3.7088, grad_fn=<MeanBackward1>)
tensor(3.9999, grad_fn=<MeanBackward1>)
tensor(3.9966, grad_fn=<MeanBackward1>)
tensor(4.1228, grad_fn=<MeanBackward1>)
tensor(4.3188, grad_fn=<MeanBackward1>)
tensor(4.2501, grad_fn=<MeanBackward1>)
tensor(3.8268, grad_fn=<MeanBackward1>)
tensor(4.2298, grad_fn=<MeanBackward1>)
tensor(4.0595, grad_fn=<MeanBackward1>)
tensor(4.2629, grad_fn=<MeanBackward1>)
tensor(3.6664, grad_fn=<MeanBackward1>)
tensor(3.9779, grad_fn=<MeanBackward1>)
tensor(4.1964, grad_fn=<MeanBackward1>)
tensor(4.2369, grad_fn=<MeanBackward1>)
tensor(4.2479, grad_fn=<MeanBackward1>)
tensor(4.1470, grad_fn=<MeanBackward1>)
