(405s) loss_phi: -438.964410,  loss_theta: 236.447976,  ess_rws: 1.024064,  ess_mu: 1.343168,  ess_local: 1.042195,  density: -564.630686
(388s) loss_phi: -438.469346,  loss_theta: 235.083726,  ess_rws: 1.023821,  ess_mu: 1.339221,  ess_local: 1.043551,  density: -562.586454
(390s) loss_phi: -438.255344,  loss_theta: 236.691963,  ess_rws: 1.024903,  ess_mu: 1.344716,  ess_local: 1.043492,  density: -562.294495
(392s) loss_phi: -437.879694,  loss_theta: 232.604686,  ess_rws: 1.025191,  ess_mu: 1.344117,  ess_local: 1.045053,  density: -559.316252
(426s) loss_phi: -437.666972,  loss_theta: 227.842997,  ess_rws: 1.024817,  ess_mu: 1.354297,  ess_local: 1.043980,  density: -555.172543
(384s) loss_phi: -437.524587,  loss_theta: 228.141112,  ess_rws: 1.023451,  ess_mu: 1.349077,  ess_local: 1.044764,  density: -554.169712
(400s) loss_phi: -437.176451,  loss_theta: 224.205752,  ess_rws: 1.022807,  ess_mu: 1.354157,  ess_local: 1.044811,  density: -550.554962
(386s) loss_phi: -436.824726,  loss_theta: 223.698579,  ess_rws: 1.024757,  ess_mu: 1.349805,  ess_local: 1.045359,  density: -549.358245
(386s) loss_phi: -436.832165,  loss_theta: 221.544227,  ess_rws: 1.024970,  ess_mu: 1.349648,  ess_local: 1.047921,  density: -547.173853
(391s) loss_phi: -436.769829,  loss_theta: 221.254052,  ess_rws: 1.024841,  ess_mu: 1.357759,  ess_local: 1.046814,  density: -545.634689
(391s) loss_phi: -436.368381,  loss_theta: 219.111520,  ess_rws: 1.023961,  ess_mu: 1.356623,  ess_local: 1.046784,  density: -542.948195
(397s) loss_phi: -436.258734,  loss_theta: 219.200290,  ess_rws: 1.024439,  ess_mu: 1.349216,  ess_local: 1.047958,  density: -541.473165
(400s) loss_phi: -436.255545,  loss_theta: 216.996963,  ess_rws: 1.024801,  ess_mu: 1.350599,  ess_local: 1.048224,  density: -539.600104
(413s) loss_phi: -436.117014,  loss_theta: 218.888369,  ess_rws: 1.026058,  ess_mu: 1.358123,  ess_local: 1.050923,  density: -539.306108
(405s) loss_phi: -435.674972,  loss_theta: 211.648620,  ess_rws: 1.025001,  ess_mu: 1.354044,  ess_local: 1.050337,  density: -534.742707
(397s) loss_phi: -435.860893,  loss_theta: 211.759201,  ess_rws: 1.023031,  ess_mu: 1.358646,  ess_local: 1.050293,  density: -533.497402
(398s) loss_phi: -435.557120,  loss_theta: 212.158151,  ess_rws: 1.025380,  ess_mu: 1.354833,  ess_local: 1.049967,  density: -532.902756
(395s) loss_phi: -435.392593,  loss_theta: 207.578616,  ess_rws: 1.024054,  ess_mu: 1.360742,  ess_local: 1.052429,  density: -529.810899
(397s) loss_phi: -435.582020,  loss_theta: 207.430262,  ess_rws: 1.025977,  ess_mu: 1.357662,  ess_local: 1.052627,  density: -528.522977
(402s) loss_phi: -435.320875,  loss_theta: 208.383573,  ess_rws: 1.023395,  ess_mu: 1.355926,  ess_local: 1.052052,  density: -527.439274
(404s) loss_phi: -435.281440,  loss_theta: 208.178919,  ess_rws: 1.025898,  ess_mu: 1.359166,  ess_local: 1.055152,  density: -526.614318
(398s) loss_phi: -435.222901,  loss_theta: 202.152289,  ess_rws: 1.023846,  ess_mu: 1.363502,  ess_local: 1.054074,  density: -522.446149
(397s) loss_phi: -435.173430,  loss_theta: 200.907305,  ess_rws: 1.023806,  ess_mu: 1.368425,  ess_local: 1.055050,  density: -521.006761
(392s) loss_phi: -434.982881,  loss_theta: 206.256523,  ess_rws: 1.025780,  ess_mu: 1.364137,  ess_local: 1.055568,  density: -523.569708
(396s) loss_phi: -435.001620,  loss_theta: 204.240907,  ess_rws: 1.025820,  ess_mu: 1.360483,  ess_local: 1.056303,  density: -521.224272
(396s) loss_phi: -435.155268,  loss_theta: 200.107012,  ess_rws: 1.024449,  ess_mu: 1.364063,  ess_local: 1.056610,  density: -517.730315
(395s) loss_phi: -435.253650,  loss_theta: 201.769095,  ess_rws: 1.024545,  ess_mu: 1.360524,  ess_local: 1.059072,  density: -517.008583
(395s) loss_phi: -435.066051,  loss_theta: 198.749160,  ess_rws: 1.025422,  ess_mu: 1.361110,  ess_local: 1.057870,  density: -515.224357
(396s) loss_phi: -434.938558,  loss_theta: 198.558327,  ess_rws: 1.026886,  ess_mu: 1.364092,  ess_local: 1.059485,  density: -514.136008
(395s) loss_phi: -434.954783,  loss_theta: 193.720046,  ess_rws: 1.027136,  ess_mu: 1.374165,  ess_local: 1.061375,  density: -510.602190
(402s) loss_phi: -434.897373,  loss_theta: 195.628958,  ess_rws: 1.024647,  ess_mu: 1.371563,  ess_local: 1.063503,  density: -510.646712
(408s) loss_phi: -434.974136,  loss_theta: 198.557616,  ess_rws: 1.026004,  ess_mu: 1.368340,  ess_local: 1.061423,  density: -511.684096
(471s) loss_phi: -434.987931,  loss_theta: 191.990673,  ess_rws: 1.024126,  ess_mu: 1.379502,  ess_local: 1.063305,  density: -506.842737
(478s) loss_phi: -434.915388,  loss_theta: 192.750861,  ess_rws: 1.024286,  ess_mu: 1.376847,  ess_local: 1.063830,  density: -506.193990
(467s) loss_phi: -434.812926,  loss_theta: 190.696676,  ess_rws: 1.025564,  ess_mu: 1.374103,  ess_local: 1.064336,  density: -504.740609
(401s) loss_phi: -434.522182,  loss_theta: 192.393313,  ess_rws: 1.024908,  ess_mu: 1.367963,  ess_local: 1.066872,  density: -505.171255
(462s) loss_phi: -434.797937,  loss_theta: 192.535891,  ess_rws: 1.025920,  ess_mu: 1.373677,  ess_local: 1.072032,  density: -503.945438
(462s) loss_phi: -434.633486,  loss_theta: 189.686891,  ess_rws: 1.028475,  ess_mu: 1.370516,  ess_local: 1.066880,  density: -502.119260
(407s) loss_phi: -434.655426,  loss_theta: 190.458772,  ess_rws: 1.026474,  ess_mu: 1.369862,  ess_local: 1.067762,  density: -501.247379
(404s) loss_phi: -434.598294,  loss_theta: 184.239677,  ess_rws: 1.026078,  ess_mu: 1.369616,  ess_local: 1.069643,  density: -497.963822
(403s) loss_phi: -434.724665,  loss_theta: 188.507741,  ess_rws: 1.026139,  ess_mu: 1.374674,  ess_local: 1.067692,  density: -499.685583
(404s) loss_phi: -434.584839,  loss_theta: 187.078399,  ess_rws: 1.026011,  ess_mu: 1.375204,  ess_local: 1.068430,  density: -497.966500
(406s) loss_phi: -434.780222,  loss_theta: 190.331203,  ess_rws: 1.026127,  ess_mu: 1.378455,  ess_local: 1.070678,  density: -498.190047
(403s) loss_phi: -434.589904,  loss_theta: 190.149822,  ess_rws: 1.028039,  ess_mu: 1.368586,  ess_local: 1.071896,  density: -498.321162
(395s) loss_phi: -434.657933,  loss_theta: 186.171699,  ess_rws: 1.027319,  ess_mu: 1.373659,  ess_local: 1.072412,  density: -495.632940
(395s) loss_phi: -434.545034,  loss_theta: 186.985660,  ess_rws: 1.024188,  ess_mu: 1.380832,  ess_local: 1.075386,  density: -495.051218
(396s) loss_phi: -434.701778,  loss_theta: 183.661437,  ess_rws: 1.027482,  ess_mu: 1.367659,  ess_local: 1.074229,  density: -492.932012
(390s) loss_phi: -434.553968,  loss_theta: 184.211249,  ess_rws: 1.026759,  ess_mu: 1.375443,  ess_local: 1.078001,  density: -492.596474
(406s) loss_phi: -434.716927,  loss_theta: 183.233046,  ess_rws: 1.026329,  ess_mu: 1.384972,  ess_local: 1.076920,  density: -490.930751
(399s) loss_phi: -434.742905,  loss_theta: 182.083767,  ess_rws: 1.026297,  ess_mu: 1.380163,  ess_local: 1.075332,  density: -490.300820
(398s) loss_phi: -434.766654,  loss_theta: 182.234879,  ess_rws: 1.026924,  ess_mu: 1.379638,  ess_local: 1.079865,  density: -489.584272
(399s) loss_phi: -434.783214,  loss_theta: 179.653106,  ess_rws: 1.026576,  ess_mu: 1.384398,  ess_local: 1.080815,  density: -488.123279
(394s) loss_phi: -434.617960,  loss_theta: 180.905616,  ess_rws: 1.025877,  ess_mu: 1.373492,  ess_local: 1.082586,  density: -487.916989
(397s) loss_phi: -434.764007,  loss_theta: 178.407869,  ess_rws: 1.026728,  ess_mu: 1.382184,  ess_local: 1.080538,  density: -486.304024
(399s) loss_phi: -434.847987,  loss_theta: 178.991281,  ess_rws: 1.026943,  ess_mu: 1.385025,  ess_local: 1.081005,  density: -485.500795
(392s) loss_phi: -434.794302,  loss_theta: 177.504012,  ess_rws: 1.026394,  ess_mu: 1.377427,  ess_local: 1.082920,  density: -484.105959
