(20s) Epoch=16, Group=1, loss_phi: -79.4217,  loss_theta: 1588.5607,  ess: 1.0639,  density: -2076.1959
(20s) Epoch=16, Group=2, loss_phi: -82.5022,  loss_theta: 1838.9841,  ess: 1.0533,  density: -2331.5124
(20s) Epoch=16, Group=3, loss_phi: -80.7138,  loss_theta: 1828.9465,  ess: 1.0681,  density: -2332.9576
(20s) Epoch=16, Group=4, loss_phi: -83.2775,  loss_theta: 1619.7216,  ess: 1.0535,  density: -2064.1276
(20s) Epoch=16, Group=5, loss_phi: -81.4163,  loss_theta: 1686.0186,  ess: 1.0689,  density: -2149.5958
(20s) Epoch=16, Group=6, loss_phi: -78.6588,  loss_theta: 1635.0107,  ess: 1.0563,  density: -2096.5258
(20s) Epoch=16, Group=7, loss_phi: -84.0938,  loss_theta: 1526.5397,  ess: 1.0670,  density: -1961.2137
(20s) Epoch=16, Group=8, loss_phi: -85.2053,  loss_theta: 1692.7297,  ess: 1.0626,  density: -2147.8968
(20s) Epoch=16, Group=9, loss_phi: -82.0964,  loss_theta: 1671.8427,  ess: 1.0709,  density: -2147.8072
(20s) Epoch=17, Group=0, loss_phi: -83.4910,  loss_theta: 1497.7099,  ess: 1.0685,  density: -1932.8784
(20s) Epoch=17, Group=1, loss_phi: -85.6917,  loss_theta: 1624.1133,  ess: 1.0657,  density: -2058.4755
(20s) Epoch=17, Group=2, loss_phi: -84.9790,  loss_theta: 1649.7179,  ess: 1.0755,  density: -2110.2310
(20s) Epoch=17, Group=3, loss_phi: -89.2169,  loss_theta: 1670.0824,  ess: 1.0691,  density: -2110.2568
(20s) Epoch=17, Group=4, loss_phi: -85.8467,  loss_theta: 1758.9361,  ess: 1.0603,  density: -2239.6030
(20s) Epoch=17, Group=5, loss_phi: -84.2561,  loss_theta: 1635.9004,  ess: 1.0643,  density: -2094.6902
(20s) Epoch=17, Group=6, loss_phi: -85.3373,  loss_theta: 1659.8886,  ess: 1.0595,  density: -2111.9207
(20s) Epoch=17, Group=7, loss_phi: -87.8466,  loss_theta: 1775.4289,  ess: 1.0589,  density: -2256.4051
(20s) Epoch=17, Group=8, loss_phi: -89.0625,  loss_theta: 1557.5173,  ess: 1.0665,  density: -2007.7701
(20s) Epoch=17, Group=9, loss_phi: -91.3272,  loss_theta: 1569.1298,  ess: 1.0803,  density: -1990.1718
(20s) Epoch=18, Group=0, loss_phi: -87.7463,  loss_theta: 1630.1057,  ess: 1.0697,  density: -2088.1609
(20s) Epoch=18, Group=1, loss_phi: -86.5992,  loss_theta: 1581.0039,  ess: 1.0574,  density: -2032.6788
(20s) Epoch=18, Group=2, loss_phi: -84.5565,  loss_theta: 1626.5561,  ess: 1.0653,  density: -2086.9281
(20s) Epoch=18, Group=3, loss_phi: -83.4654,  loss_theta: 1612.2411,  ess: 1.0693,  density: -2083.6299
(20s) Epoch=18, Group=4, loss_phi: -86.4751,  loss_theta: 1639.0410,  ess: 1.0629,  density: -2084.9570
(20s) Epoch=18, Group=5, loss_phi: -88.2909,  loss_theta: 1744.4314,  ess: 1.0803,  density: -2215.6483
(20s) Epoch=18, Group=6, loss_phi: -90.6360,  loss_theta: 1548.4487,  ess: 1.0713,  density: -1966.9432
(20s) Epoch=18, Group=7, loss_phi: -87.2560,  loss_theta: 1733.6922,  ess: 1.0623,  density: -2225.2157
(20s) Epoch=18, Group=8, loss_phi: -88.1831,  loss_theta: 1503.9866,  ess: 1.0581,  density: -1949.6498
(20s) Epoch=18, Group=9, loss_phi: -89.3123,  loss_theta: 1449.8005,  ess: 1.0811,  density: -1860.8431
(20s) Epoch=19, Group=0, loss_phi: -85.6269,  loss_theta: 1608.0016,  ess: 1.0883,  density: -2054.8440
(20s) Epoch=19, Group=1, loss_phi: -89.0442,  loss_theta: 1577.6984,  ess: 1.0799,  density: -2019.9361
(20s) Epoch=19, Group=2, loss_phi: -87.6000,  loss_theta: 1477.5959,  ess: 1.0552,  density: -1925.3933
(20s) Epoch=19, Group=3, loss_phi: -88.9394,  loss_theta: 1594.4782,  ess: 1.0798,  density: -2030.4924
(20s) Epoch=19, Group=4, loss_phi: -86.3789,  loss_theta: 1546.9844,  ess: 1.0760,  density: -1985.9436
