EUBO	ELBO	ESS
438.468	432.489	5.072
438.497	433.348	5.393
438.377	433.620	5.518
438.396	433.820	5.590
438.403	433.763	5.507
438.333	434.190	5.816
438.424	433.701	5.580
438.399	433.392	5.433
438.341	433.746	5.615
438.312	434.200	5.750
438.335	434.028	5.710
438.399	433.709	5.614
438.378	434.063	5.675
438.414	433.728	5.537
438.377	433.955	5.635
438.446	433.619	5.460
438.341	434.198	5.797
438.443	433.428	5.378
438.369	433.990	5.613
438.375	433.700	5.464
438.397	433.537	5.466
438.293	434.554	5.935
438.380	433.761	5.458
438.548	433.271	5.230
438.333	434.456	5.859
438.317	434.302	5.809
438.318	433.924	5.632
438.434	433.554	5.365
438.465	433.619	5.432
438.354	434.000	5.623
438.406	433.932	5.550
438.454	433.349	5.279
438.320	434.198	5.821
438.340	434.149	5.730
438.471	433.597	5.386
438.261	434.433	5.959
438.382	434.042	5.689
438.384	433.769	5.582
438.464	433.816	5.475
438.450	433.859	5.504
438.423	433.921	5.534
438.315	433.944	5.708
438.342	433.922	5.613
438.378	434.056	5.686
438.392	433.968	5.599
438.287	434.233	5.767
438.422	433.892	5.519
438.436	433.381	5.416
438.363	433.736	5.495
438.430	433.728	5.501
438.385	433.907	5.628
438.345	434.113	5.754
438.308	434.202	5.763
438.404	433.969	5.587
438.402	433.871	5.566
438.457	433.754	5.449
438.476	434.001	5.511
438.377	434.119	5.709
438.417	433.771	5.524
438.357	434.148	5.703
438.388	433.938	5.584
438.441	433.673	5.443
438.404	433.694	5.476
438.293	434.345	5.859
438.455	433.959	5.612
438.370	434.274	5.739
438.345	434.068	5.698
438.421	434.067	5.580
438.310	434.400	5.816
438.304	434.272	5.769
438.413	433.645	5.462
438.401	434.070	5.667
438.341	434.037	5.673
438.445	433.132	5.257
438.239	434.672	6.078
438.461	433.587	5.384
438.291	434.382	5.846
438.345	434.045	5.655
438.377	434.102	5.695
438.438	433.824	5.462
438.321	434.268	5.733
438.504	433.704	5.398
438.559	433.175	5.135
438.486	433.793	5.368
438.305	434.299	5.801
438.346	434.223	5.731
438.351	433.983	5.610
438.410	433.786	5.515
438.428	434.099	5.614
438.376	433.948	5.591
438.327	434.296	5.796
438.337	434.070	5.668
438.365	434.332	5.754
438.229	434.586	6.006
438.496	433.536	5.277
438.391	434.194	5.657
438.427	433.970	5.520
438.365	434.152	5.621
438.354	434.226	5.682
438.355	434.229	5.678
438.371	434.180	5.655
438.314	434.355	5.840
438.402	433.768	5.430
438.339	434.162	5.701
438.329	434.337	5.702
438.377	434.221	5.626
438.312	434.347	5.813
438.403	433.879	5.501
438.386	434.250	5.606
438.426	433.625	5.378
438.446	433.906	5.495
438.396	434.000	5.508
438.295	434.474	5.861
438.441	433.826	5.406
438.415	433.959	5.473
438.253	434.509	5.915
438.317	433.565	5.466
438.446	433.829	5.492
438.320	434.229	5.746
438.478	433.716	5.353
438.408	434.235	5.650
438.356	433.757	5.510
438.408	434.250	5.625
438.326	434.326	5.724
438.352	434.289	5.749
438.387	434.140	5.632
438.361	434.315	5.661
438.290	434.592	5.889
438.363	434.403	5.740
438.344	434.370	5.727
438.339	434.299	5.712
438.281	434.694	5.935
438.286	434.537	5.845
438.391	434.124	5.580
438.323	434.349	5.746
438.364	434.180	5.643
438.397	434.167	5.628
438.368	434.333	5.747
438.411	434.221	5.642
438.401	434.088	5.575
438.424	433.764	5.425
438.279	434.766	5.969
438.470	433.795	5.457
438.508	433.705	5.348
438.306	434.465	5.840
438.317	434.428	5.758
438.302	434.489	5.808
438.414	434.061	5.560
438.339	434.406	5.775
438.399	434.008	5.510
438.408	433.897	5.508
438.479	433.603	5.359
438.321	434.316	5.692
438.325	434.469	5.806
438.275	434.413	5.785
438.377	434.093	5.569
438.425	434.187	5.613
438.421	433.910	5.496
438.345	434.029	5.561
438.395	434.322	5.654
438.436	433.945	5.497
438.350	434.256	5.703
438.322	434.445	5.831
438.377	433.756	5.421
438.403	434.337	5.698
438.357	434.306	5.721
438.417	434.156	5.587
438.340	434.508	5.819
438.369	434.419	5.752
438.336	434.232	5.660
438.299	434.619	5.894
438.331	434.319	5.700
438.377	434.206	5.621
438.370	434.095	5.579
438.384	434.155	5.591
438.354	434.540	5.802
438.396	434.174	5.595
438.363	434.384	5.721
438.382	434.549	5.783
438.343	434.541	5.787
438.391	434.235	5.628
438.357	433.978	5.568
438.447	433.714	5.369
438.420	434.294	5.615
438.278	434.206	5.706
438.366	434.346	5.680
438.317	434.636	5.858
438.344	434.534	5.786
438.348	434.245	5.654
438.399	434.259	5.629
438.322	434.557	5.834
438.538	433.744	5.323
438.442	433.771	5.392
438.430	434.137	5.525
438.412	433.945	5.438
438.471	433.859	5.428
438.372	434.282	5.686
438.378	434.280	5.648
438.379	433.958	5.489
438.433	434.047	5.545
438.395	434.157	5.576
438.367	434.471	5.757
438.331	434.441	5.769
438.378	434.122	5.615
438.373	434.406	5.731
438.327	434.619	5.838
438.458	433.851	5.437
438.279	434.428	5.787
438.332	434.374	5.698
438.379	434.146	5.558
438.506	433.643	5.294
438.377	434.172	5.584
438.353	434.455	5.747
438.327	434.644	5.868
438.337	434.427	5.774
438.321	434.552	5.801
438.348	434.105	5.598
438.351	434.081	5.526
438.327	434.448	5.760
438.399	434.161	5.607
438.346	434.394	5.695
438.397	434.320	5.689
438.294	434.528	5.844
438.318	434.459	5.730
438.338	434.462	5.748
438.284	434.516	5.842
438.277	434.728	5.963
438.394	434.183	5.559
438.354	434.503	5.776
438.330	434.445	5.722
438.394	434.046	5.540
438.446	433.850	5.381
438.389	434.094	5.550
438.300	434.659	5.865
438.382	433.910	5.464
438.327	434.398	5.746
438.424	434.011	5.465
438.390	434.312	5.625
438.384	434.519	5.754
438.368	434.547	5.739
438.302	433.944	5.585
438.379	434.285	5.674
438.430	434.094	5.509
438.449	434.050	5.468
438.514	433.727	5.298
438.306	434.657	5.915
438.290	434.803	5.939
438.429	434.243	5.578
438.369	434.379	5.707
438.389	434.318	5.688
438.313	434.633	5.798
438.351	434.476	5.707
438.348	434.459	5.750
438.318	434.390	5.713
438.309	434.732	5.882
438.235	434.779	5.955
438.346	434.547	5.757
438.400	434.237	5.575
438.322	434.324	5.693
438.456	434.021	5.442
438.323	434.653	5.841
438.327	434.578	5.798
438.349	434.428	5.696
438.311	434.616	5.831
438.423	434.082	5.558
438.271	434.653	5.885
438.376	434.523	5.733
438.393	434.216	5.558
438.328	434.557	5.819
438.389	434.175	5.603
438.469	434.020	5.412
438.318	434.417	5.778
438.436	433.979	5.439
438.373	434.360	5.773
438.458	434.175	5.527
438.311	434.404	5.700
438.383	434.251	5.624
438.309	434.591	5.826
438.247	434.780	5.953
438.324	434.532	5.811
438.358	434.439	5.716
