symKL_DB_eta: 71.808,  symKL_DB_z: 1682.360,  gap_eta: 52.043,  gap_z: 1685.330,  loss: -3659.007,  ess: 5.928
symKL_DB_eta: 82.120,  symKL_DB_z: 1670.304,  gap_eta: 51.141,  gap_z: 1673.307,  loss: -3600.521,  ess: 5.946
symKL_DB_eta: 81.284,  symKL_DB_z: 1657.057,  gap_eta: 50.681,  gap_z: 1658.835,  loss: -3643.256,  ess: 5.967
symKL_DB_eta: 88.313,  symKL_DB_z: 1644.866,  gap_eta: 49.479,  gap_z: 1646.936,  loss: -3520.163,  ess: 5.986
symKL_DB_eta: 100.615,  symKL_DB_z: 1628.574,  gap_eta: 49.433,  gap_z: 1629.959,  loss: -3486.499,  ess: 5.991
symKL_DB_eta: 95.066,  symKL_DB_z: 1632.811,  gap_eta: 49.092,  gap_z: 1622.585,  loss: -3378.592,  ess: 6.021
symKL_DB_eta: 73.253,  symKL_DB_z: 1596.856,  gap_eta: 46.445,  gap_z: 1598.011,  loss: -3225.710,  ess: 6.043
symKL_DB_eta: 76.295,  symKL_DB_z: 1577.432,  gap_eta: 45.955,  gap_z: 1580.370,  loss: -3224.476,  ess: 6.052
symKL_DB_eta: 74.468,  symKL_DB_z: 1535.977,  gap_eta: 45.006,  gap_z: 1538.428,  loss: -3234.422,  ess: 6.077
symKL_DB_eta: 74.204,  symKL_DB_z: 1483.424,  gap_eta: 44.527,  gap_z: 1484.875,  loss: -3079.218,  ess: 6.089
symKL_DB_eta: 77.359,  symKL_DB_z: 1415.052,  gap_eta: 43.405,  gap_z: 1417.491,  loss: -3019.822,  ess: 6.113
symKL_DB_eta: 60.638,  symKL_DB_z: 1329.921,  gap_eta: 42.667,  gap_z: 1331.558,  loss: -3303.182,  ess: 6.143
symKL_DB_eta: 56.259,  symKL_DB_z: 1207.082,  gap_eta: 42.437,  gap_z: 1209.857,  loss: -3002.073,  ess: 6.163
symKL_DB_eta: 54.776,  symKL_DB_z: 1077.455,  gap_eta: 41.673,  gap_z: 1081.072,  loss: -3148.070,  ess: 6.190
