(233s) loss: 20.961,  ess: 7.675,  kl_eta_ex: 0.126,  kl_eta_in: 0.082,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.926,  ess: 7.683,  kl_eta_ex: 0.123,  kl_eta_in: 0.081,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.946,  ess: 7.678,  kl_eta_ex: 0.122,  kl_eta_in: 0.081,  kl_z_ex: 0.003,  kl_z_in: 0.001
(231s) loss: 20.968,  ess: 7.671,  kl_eta_ex: 0.123,  kl_eta_in: 0.081,  kl_z_ex: 0.003,  kl_z_in: 0.001
(231s) loss: 20.957,  ess: 7.672,  kl_eta_ex: 0.120,  kl_eta_in: 0.081,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.968,  ess: 7.678,  kl_eta_ex: 0.121,  kl_eta_in: 0.080,  kl_z_ex: 0.003,  kl_z_in: 0.001
(237s) loss: 20.907,  ess: 7.682,  kl_eta_ex: 0.119,  kl_eta_in: 0.080,  kl_z_ex: 0.003,  kl_z_in: 0.001
(234s) loss: 20.921,  ess: 7.687,  kl_eta_ex: 0.118,  kl_eta_in: 0.079,  kl_z_ex: 0.003,  kl_z_in: 0.001
(236s) loss: 20.945,  ess: 7.690,  kl_eta_ex: 0.118,  kl_eta_in: 0.079,  kl_z_ex: 0.003,  kl_z_in: 0.001
(238s) loss: 20.944,  ess: 7.683,  kl_eta_ex: 0.118,  kl_eta_in: 0.078,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.944,  ess: 7.687,  kl_eta_ex: 0.115,  kl_eta_in: 0.078,  kl_z_ex: 0.003,  kl_z_in: 0.001
(231s) loss: 20.925,  ess: 7.686,  kl_eta_ex: 0.115,  kl_eta_in: 0.079,  kl_z_ex: 0.003,  kl_z_in: 0.001
(232s) loss: 20.952,  ess: 7.684,  kl_eta_ex: 0.116,  kl_eta_in: 0.078,  kl_z_ex: 0.003,  kl_z_in: 0.001
(233s) loss: 20.955,  ess: 7.686,  kl_eta_ex: 0.114,  kl_eta_in: 0.077,  kl_z_ex: 0.003,  kl_z_in: 0.001
(236s) loss: 20.956,  ess: 7.693,  kl_eta_ex: 0.113,  kl_eta_in: 0.077,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.916,  ess: 7.692,  kl_eta_ex: 0.112,  kl_eta_in: 0.077,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.971,  ess: 7.682,  kl_eta_ex: 0.113,  kl_eta_in: 0.077,  kl_z_ex: 0.003,  kl_z_in: 0.001
(240s) loss: 20.929,  ess: 7.682,  kl_eta_ex: 0.113,  kl_eta_in: 0.076,  kl_z_ex: 0.003,  kl_z_in: 0.001
(237s) loss: 20.973,  ess: 7.685,  kl_eta_ex: 0.112,  kl_eta_in: 0.076,  kl_z_ex: 0.003,  kl_z_in: 0.001
(235s) loss: 20.941,  ess: 7.674,  kl_eta_ex: 0.111,  kl_eta_in: 0.076,  kl_z_ex: 0.003,  kl_z_in: 0.001
(231s) loss: 20.935,  ess: 7.689,  kl_eta_ex: 0.111,  kl_eta_in: 0.075,  kl_z_ex: 0.003,  kl_z_in: 0.001
(234s) loss: 20.950,  ess: 7.699,  kl_eta_ex: 0.111,  kl_eta_in: 0.075,  kl_z_ex: 0.003,  kl_z_in: 0.001
