DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.133,  0.925,  -428.295,  8.473,  0.008,  0.004,  0.148,  0.056
2.132,  0.935,  -428.387,  8.467,  0.008,  0.003,  0.151,  0.056
2.126,  0.930,  -428.759,  8.481,  0.008,  0.004,  0.148,  0.056
2.175,  1.021,  -428.212,  8.468,  0.009,  0.004,  0.151,  0.056
2.148,  0.988,  -428.007,  8.469,  0.007,  0.003,  0.149,  0.056
2.131,  0.971,  -428.419,  8.470,  0.009,  0.006,  0.146,  0.056
2.144,  0.956,  -428.851,  8.469,  0.008,  0.004,  0.145,  0.056
2.119,  0.953,  -428.388,  8.477,  0.007,  0.003,  0.144,  0.054
2.158,  0.980,  -428.302,  8.474,  0.008,  0.004,  0.151,  0.056
2.182,  1.022,  -428.284,  8.468,  0.007,  0.003,  0.144,  0.055
2.124,  0.934,  -428.425,  8.474,  0.008,  0.003,  0.143,  0.053
2.124,  0.928,  -428.609,  8.470,  0.008,  0.003,  0.144,  0.054
2.151,  0.926,  -428.612,  8.473,  0.009,  0.004,  0.144,  0.054
2.211,  0.991,  -428.306,  8.465,  0.008,  0.003,  0.145,  0.054
2.156,  0.999,  -428.208,  8.467,  0.008,  0.004,  0.143,  0.054
2.167,  1.030,  -428.548,  8.473,  0.009,  0.004,  0.143,  0.054
2.138,  0.943,  -428.682,  8.470,  0.008,  0.004,  0.138,  0.053
2.122,  0.834,  -428.423,  8.472,  0.007,  0.003,  0.135,  0.052
2.122,  0.931,  -428.522,  8.482,  0.009,  0.004,  0.136,  0.053
